epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,642.191,0.41019,0.31545,0.85845,0.96155,0.93617,0.96093,0.90805,0.35087,0.29276,0.80272,0.000679204,0.000679204,0.000679204
55,653.902,0.39897,0.31276,0.85577,0.97981,0.94506,0.97791,0.92295,0.32908,0.25989,0.80976,0.000665057,0.000665057,0.000665057
56,665.565,0.39848,0.30866,0.85388,0.9868,0.93135,0.97095,0.91457,0.34321,0.26189,0.79828,0.000650909,0.000650909,0.000650909
57,677.289,0.39361,0.30386,0.853,0.98208,0.95717,0.97772,0.92285,0.31842,0.25351,0.79138,0.000636762,0.000636762,0.000636762
58,688.911,0.39464,0.30326,0.85335,0.98428,0.96587,0.98186,0.91891,0.32204,0.2523,0.79321,0.000622615,0.000622615,0.000622615
59,703.298,0.3793,0.29585,0.85216,0.98322,0.96914,0.97257,0.92221,0.30827,0.23607,0.80038,0.000608468,0.000608468,0.000608468
60,718.246,0.38638,0.29843,0.84998,0.97539,0.92776,0.95912,0.91829,0.31871,0.24937,0.80075,0.000594321,0.000594321,0.000594321
61,726.512,0.37843,0.29586,0.8428,0.99432,0.92319,0.97048,0.92534,0.31175,0.25144,0.79604,0.000580174,0.000580174,0.000580174
62,734.767,0.37696,0.2879,0.84512,0.96686,0.95547,0.97877,0.92776,0.31031,0.25175,0.79805,0.000566027,0.000566027,0.000566027
63,743.013,0.38256,0.29598,0.84793,0.96748,0.9555,0.97259,0.92583,0.31283,0.24537,0.79446,0.00055188,0.00055188,0.00055188
64,751.199,0.38782,0.29094,0.84825,0.95654,0.95915,0.9724,0.92035,0.30901,0.25305,0.8035,0.000537733,0.000537733,0.000537733
65,759.467,0.35668,0.27572,0.84133,0.96379,0.94965,0.97184,0.91968,0.3151,0.24481,0.79265,0.000523586,0.000523586,0.000523586
66,767.79,0.36835,0.28476,0.84785,0.96983,0.96443,0.97455,0.92762,0.31919,0.23682,0.79674,0.000509438,0.000509438,0.000509438
67,776.117,0.36577,0.27792,0.84511,0.95725,0.96296,0.97432,0.92701,0.32221,0.25301,0.80071,0.000495291,0.000495291,0.000495291
68,784.381,0.36848,0.28281,0.84686,0.97227,0.93926,0.97437,0.93371,0.30626,0.24922,0.79814,0.000481144,0.000481144,0.000481144
69,792.692,0.37875,0.28898,0.84668,0.99267,0.94837,0.97739,0.93165,0.31001,0.25173,0.7869,0.000466997,0.000466997,0.000466997
70,801.073,0.37154,0.28174,0.8426,0.98563,0.96138,0.97711,0.93118,0.30939,0.23755,0.79595,0.00045285,0.00045285,0.00045285
71,809.518,0.36358,0.27159,0.84245,0.98473,0.954,0.97891,0.93225,0.28695,0.22961,0.78944,0.000438703,0.000438703,0.000438703
72,817.904,0.36596,0.27731,0.84705,0.96529,0.95521,0.96852,0.92778,0.29894,0.2302,0.79421,0.000424556,0.000424556,0.000424556
73,826.276,0.36461,0.26982,0.8446,0.98107,0.96175,0.97618,0.93034,0.31098,0.24178,0.7992,0.000410409,0.000410409,0.000410409
74,834.64,0.35163,0.26854,0.84057,0.98784,0.94166,0.97241,0.92474,0.32197,0.2443,0.79689,0.000396262,0.000396262,0.000396262
75,843.015,0.35666,0.27065,0.84278,0.97014,0.95936,0.97646,0.93646,0.30758,0.23507,0.79322,0.000382115,0.000382115,0.000382115
76,851.415,0.35235,0.26941,0.84568,0.96346,0.9558,0.97644,0.93112,0.28393,0.22292,0.79241,0.000367967,0.000367967,0.000367967
77,859.823,0.34626,0.26239,0.84583,0.95827,0.96362,0.97497,0.92423,0.30968,0.22505,0.79971,0.00035382,0.00035382,0.00035382
78,868.205,0.34877,0.26544,0.8426,0.97558,0.96295,0.9759,0.93155,0.28587,0.21639,0.8001,0.000339673,0.000339673,0.000339673
79,876.603,0.3407,0.25574,0.84018,0.9543,0.96469,0.97587,0.92777,0.28541,0.23329,0.80121,0.000325526,0.000325526,0.000325526
80,884.939,0.33998,0.25446,0.84082,0.96949,0.95369,0.97655,0.9314,0.28213,0.23254,0.7987,0.000311379,0.000311379,0.000311379
81,893.281,0.34466,0.25609,0.83951,0.97466,0.97292,0.97931,0.93592,0.28084,0.21792,0.79278,0.000297232,0.000297232,0.000297232
82,901.682,0.33113,0.24998,0.83499,0.98639,0.9591,0.97968,0.93579,0.2831,0.21219,0.79834,0.000283085,0.000283085,0.000283085
83,910.101,0.34311,0.25705,0.84444,0.96372,0.9594,0.97775,0.93223,0.25439,0.21176,0.79141,0.000268938,0.000268938,0.000268938
84,918.536,0.33546,0.25219,0.83924,0.96221,0.95886,0.97808,0.93579,0.27275,0.21485,0.79536,0.000254791,0.000254791,0.000254791
85,927.02,0.33551,0.25179,0.83915,0.96988,0.95472,0.97919,0.93205,0.27791,0.21444,0.79118,0.000240644,0.000240644,0.000240644
86,935.394,0.3359,0.25484,0.8308,0.97302,0.95382,0.9742,0.93123,0.27808,0.2008,0.78936,0.000226497,0.000226497,0.000226497
87,943.802,0.33256,0.25127,0.8341,0.97551,0.96138,0.97764,0.93363,0.26681,0.20221,0.7895,0.000212349,0.000212349,0.000212349
88,952.281,0.32398,0.24369,0.83718,0.96928,0.9592,0.97856,0.93768,0.27777,0.21043,0.79274,0.000198202,0.000198202,0.000198202
89,960.685,0.32945,0.24849,0.83632,0.96543,0.9584,0.97959,0.93236,0.27504,0.21418,0.79407,0.000184055,0.000184055,0.000184055
90,969.088,0.32716,0.24449,0.82847,0.98184,0.94689,0.97593,0.93244,0.28777,0.21024,0.79298,0.000169908,0.000169908,0.000169908
91,995.386,0.26914,0.21112,0.78948,0.96592,0.96028,0.97679,0.93762,0.27773,0.2041,0.79143,0.000155761,0.000155761,0.000155761
92,1003.7,0.25887,0.20489,0.78446,0.96881,0.95997,0.97756,0.93247,0.27429,0.21973,0.79026,0.000141614,0.000141614,0.000141614
93,1011.97,0.25463,0.20307,0.78376,0.98142,0.95036,0.97759,0.93641,0.26961,0.2245,0.78383,0.000127467,0.000127467,0.000127467
94,1020.25,0.256,0.2026,0.79018,0.96828,0.96109,0.97944,0.93696,0.26389,0.19597,0.78686,0.00011332,0.00011332,0.00011332
95,1028.56,0.24965,0.19947,0.77758,0.97999,0.94743,0.97878,0.93576,0.26515,0.20595,0.7873,9.91726e-05,9.91726e-05,9.91726e-05
96,1036.84,0.24753,0.19726,0.78703,0.96902,0.95478,0.97291,0.93369,0.26465,0.20649,0.78629,8.50255e-05,8.50255e-05,8.50255e-05
97,1045.19,0.24499,0.19657,0.78739,0.96153,0.96427,0.97237,0.93453,0.27156,0.20519,0.78865,7.08784e-05,7.08784e-05,7.08784e-05
98,1053.55,0.24616,0.19247,0.78281,0.96684,0.97284,0.97862,0.93771,0.26434,0.20419,0.78795,5.67313e-05,5.67313e-05,5.67313e-05
99,1061.81,0.23565,0.19171,0.78275,0.97393,0.95724,0.97168,0.93677,0.25915,0.20179,0.78512,4.25842e-05,4.25842e-05,4.25842e-05
100,1070.05,0.23893,0.19034,0.7839,0.98603,0.95561,0.97881,0.9372,0.25935,0.19307,0.78397,2.84371e-05,2.84371e-05,2.84371e-05
