epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,192.195,0.34649,0.27555,0.83524,0.96325,0.9685,0.9824,0.92928,0.32103,0.25894,0.80655,0.000339673,0.000339673,0.000339673
79,194.521,0.35799,0.2839,0.83971,0.97963,0.94926,0.97772,0.92539,0.32171,0.25685,0.81182,0.000325526,0.000325526,0.000325526
80,196.857,0.35103,0.273,0.84022,0.97783,0.95112,0.97954,0.93099,0.31785,0.25213,0.82066,0.000311379,0.000311379,0.000311379
81,199.189,0.34575,0.27527,0.83773,0.97182,0.95851,0.9826,0.93704,0.31721,0.25306,0.81822,0.000297232,0.000297232,0.000297232
82,201.521,0.33998,0.26998,0.84833,0.98634,0.96004,0.97727,0.93331,0.30129,0.25346,0.80434,0.000283085,0.000283085,0.000283085
83,203.848,0.34723,0.27786,0.84159,0.9842,0.95974,0.97802,0.93193,0.30055,0.25896,0.80295,0.000268938,0.000268938,0.000268938
84,206.243,0.34894,0.27138,0.83308,0.98676,0.9602,0.98098,0.93356,0.29875,0.25911,0.80272,0.000254791,0.000254791,0.000254791
85,208.579,0.34383,0.26732,0.83562,0.98172,0.9594,0.98326,0.93777,0.29436,0.24841,0.79998,0.000240644,0.000240644,0.000240644
86,210.894,0.34731,0.27703,0.84104,0.95873,0.96313,0.9749,0.93198,0.29993,0.24375,0.7975,0.000226497,0.000226497,0.000226497
87,213.224,0.33716,0.27048,0.82887,0.97305,0.9378,0.97303,0.93505,0.29489,0.25298,0.80041,0.000212349,0.000212349,0.000212349
88,215.555,0.33985,0.26677,0.83657,0.96808,0.94303,0.97313,0.9346,0.29855,0.26102,0.80729,0.000198202,0.000198202,0.000198202
89,217.827,0.34117,0.26686,0.83343,0.96415,0.95974,0.97826,0.93753,0.29744,0.25414,0.80572,0.000184055,0.000184055,0.000184055
90,220.147,0.3337,0.26594,0.839,0.99525,0.92736,0.97305,0.93853,0.29004,0.24877,0.80639,0.000169908,0.000169908,0.000169908
91,241.196,0.27123,0.22796,0.79127,0.96387,0.96772,0.97916,0.93497,0.30485,0.2515,0.81021,0.000155761,0.000155761,0.000155761
92,243.587,0.26852,0.22139,0.7904,0.97143,0.96721,0.97885,0.92885,0.29958,0.24933,0.80922,0.000141614,0.000141614,0.000141614
93,245.901,0.27637,0.22712,0.78846,0.95845,0.95004,0.97433,0.92876,0.30038,0.24952,0.81082,0.000127467,0.000127467,0.000127467
94,248.263,0.26367,0.22215,0.792,0.97287,0.93353,0.97486,0.9326,0.29436,0.24653,0.80371,0.00011332,0.00011332,0.00011332
95,250.491,0.25763,0.21595,0.78831,0.95959,0.95554,0.97528,0.93617,0.29349,0.23707,0.79965,9.91726e-05,9.91726e-05,9.91726e-05
96,252.808,0.26143,0.21621,0.78828,0.97825,0.93852,0.97562,0.93821,0.28064,0.234,0.79701,8.50255e-05,8.50255e-05,8.50255e-05
97,255.165,0.25662,0.21526,0.79115,0.98112,0.94444,0.97535,0.93914,0.28051,0.23316,0.79532,7.08784e-05,7.08784e-05,7.08784e-05
98,257.519,0.24799,0.21189,0.79322,0.96693,0.95349,0.97488,0.9404,0.28001,0.23036,0.79511,5.67313e-05,5.67313e-05,5.67313e-05
99,259.838,0.25451,0.21042,0.78313,0.95906,0.96287,0.97504,0.94021,0.2795,0.22707,0.79667,4.25842e-05,4.25842e-05,4.25842e-05
100,262.175,0.24894,0.20969,0.78717,0.95895,0.96733,0.97564,0.93895,0.28032,0.22535,0.79747,2.84371e-05,2.84371e-05,2.84371e-05
